iter	Passed	Remaining
0	53	53395
1	53	26889
2	54	18040
3	54	13619
4	55	10966
5	55	9196
6	55	7933
7	56	6986
8	56	6248
9	57	5655
10	57	5183
11	58	4784
12	58	4442
13	58	4150
14	59	3896
15	59	3675
16	60	3478
17	60	3301
18	60	3144
19	61	3002
20	61	2874
21	62	2757
22	62	2653
23	62	2555
24	63	2466
25	63	2383
26	64	2307
27	64	2235
28	64	2169
29	65	2107
30	65	2049
31	65	1994
32	66	1944
33	66	1900
34	67	1855
35	67	1812
36	68	1771
37	68	1732
38	68	1696
39	69	1661
40	69	1628
41	69	1596
42	70	1566
43	70	1538
44	71	1509
45	71	1481
46	71	1454
47	72	1429
48	72	1404
49	72	1380
50	72	1358
51	73	1336
52	73	1316
53	73	1295
54	74	1275
55	74	1258
56	74	1240
57	75	1222
58	75	1205
59	75	1188
60	76	1172
61	76	1157
62	76	1142
63	77	1127
64	77	1113
65	77	1100
66	78	1086
67	78	1071
68	78	1059
69	78	1046
70	79	1035
71	79	1023
72	79	1012
73	80	1001
74	80	991
75	80	981
76	81	971
77	81	961
78	81	951
79	81	942
80	82	933
81	82	924
82	82	915
83	83	906
84	83	897
85	83	889
86	83	880
87	84	872
88	84	864
89	84	857
90	85	849
91	85	842
92	85	835
93	85	828
94	86	821
95	86	815
96	86	808
97	87	802
98	87	796
99	87	790
100	88	784
101	88	777
102	88	771
103	88	765
104	89	760
105	89	755
106	89	750
107	90	744
108	90	739
109	90	734
110	91	729
111	91	724
112	91	720
113	92	715
114	92	710
115	92	705
116	92	700
117	93	696
118	93	691
119	93	687
120	94	683
121	94	678
122	94	673
123	94	669
124	95	666
125	95	662
126	95	658
127	95	653
128	96	650
129	96	646
130	96	642
131	97	639
132	97	635
133	97	632
134	98	629
135	98	626
136	98	623
137	99	619
138	99	616
139	99	613
140	100	610
141	100	607
142	100	604
143	101	601
144	101	598
145	101	595
146	102	592
147	102	589
148	102	587
149	103	584
150	103	581
151	103	578
152	104	575
153	104	573
154	104	570
155	104	567
156	105	564
157	105	562
158	105	559
159	106	557
160	106	554
161	106	551
162	106	549
163	107	547
164	107	544
165	108	542
166	108	540
167	108	538
168	108	535
169	109	533
170	109	531
171	109	529
172	110	527
173	110	524
174	110	522
175	111	520
176	111	518
177	111	516
178	112	514
179	112	512
180	112	509
181	112	507
182	113	505
183	113	503
184	113	501
185	114	499
186	114	497
187	114	495
188	115	494
189	115	492
190	115	490
191	116	488
192	116	486
193	116	484
194	116	482
195	117	480
196	117	479
197	117	477
198	118	475
199	118	473
200	118	471
201	119	470
202	119	468
203	119	466
204	119	465
205	120	463
206	120	462
207	120	460
208	121	458
209	121	457
210	121	455
211	122	454
212	122	452
213	122	451
214	123	450
215	123	448
216	124	447
217	124	446
218	124	444
219	124	443
220	125	441
221	125	440
222	125	438
223	126	437
224	126	435
225	126	434
226	127	432
227	127	431
228	127	430
229	128	428
230	128	427
231	128	425
232	128	424
233	129	423
234	129	421
235	129	420
236	130	418
237	130	417
238	130	416
239	131	414
240	131	413
241	131	412
242	131	410
243	132	409
244	132	408
245	132	407
246	133	405
247	133	404
248	133	403
249	134	402
250	134	400
251	134	399
252	134	398
253	135	397
254	135	396
255	135	394
256	136	393
257	136	392
258	136	391
259	137	390
260	137	389
261	137	387
262	137	386
263	138	385
264	138	384
265	138	383
266	139	382
267	139	381
268	139	379
269	140	378
270	140	377
271	140	376
272	141	375
273	141	374
274	141	373
275	142	372
276	142	371
277	142	370
278	142	369
279	143	368
280	143	367
281	143	366
282	144	365
283	144	364
284	144	363
285	145	362
286	145	361
287	145	360
288	145	359
289	146	358
290	146	357
291	146	356
292	147	355
293	147	354
294	147	353
295	148	352
296	148	351
297	148	350
298	149	349
299	149	348
300	149	347
301	150	346
302	150	345
303	150	344
304	150	343
305	151	342
306	151	341
307	151	341
308	152	340
309	152	339
310	152	338
311	153	337
312	153	336
313	153	335
314	153	334
315	154	333
316	154	333
317	154	332
318	155	331
319	155	330
320	155	329
321	156	328
322	156	327
323	156	327
324	157	326
325	157	325
326	157	324
327	157	323
328	158	322
329	158	321
330	158	321
331	159	320
332	159	319
333	159	318
334	160	317
335	160	316
336	160	316
337	160	315
338	161	314
339	161	313
340	161	312
341	162	312
342	162	311
343	162	310
344	163	309
345	163	308
346	163	308
347	163	307
348	164	306
349	164	305
350	164	304
351	165	304
352	165	303
353	165	302
354	166	301
355	166	300
356	166	300
357	166	299
358	167	298
359	167	297
360	167	297
361	168	296
362	168	295
363	168	294
364	169	294
365	169	293
366	169	292
367	170	292
368	170	291
369	170	290
370	170	289
371	171	289
372	171	288
373	171	287
374	172	286
375	172	286
376	172	285
377	173	284
378	173	284
379	173	283
380	173	282
381	174	281
382	174	281
383	174	280
384	175	279
385	175	279
386	175	278
387	176	277
388	176	277
389	176	276
390	176	275
391	177	274
392	177	274
393	177	273
394	178	272
395	178	272
396	178	271
397	179	270
398	179	270
399	179	269
400	179	268
401	180	268
402	180	267
403	180	266
404	181	266
405	181	265
406	181	264
407	182	264
408	182	263
409	182	263
410	183	262
411	183	261
412	183	261
413	183	260
414	184	259
415	184	259
416	184	258
417	185	257
418	185	257
419	185	256
420	186	255
421	186	255
422	186	254
423	186	253
424	187	253
425	187	252
426	187	252
427	188	251
428	188	250
429	188	250
430	188	249
431	189	248
432	189	248
433	189	247
434	190	247
435	190	246
436	190	245
437	191	245
438	191	244
439	191	244
440	192	243
441	192	242
442	192	242
443	192	241
444	193	241
445	193	240
446	193	239
447	194	239
448	194	238
449	194	238
450	195	237
451	195	236
452	195	236
453	196	235
454	196	235
455	196	234
456	197	234
457	197	233
458	197	232
459	197	232
460	198	231
461	198	231
462	198	230
463	199	230
464	199	229
465	199	228
466	200	228
467	200	227
468	200	227
469	200	226
470	201	226
471	201	225
472	201	224
473	202	224
474	202	223
475	202	223
476	203	222
477	203	222
478	203	221
479	203	220
480	204	220
481	204	219
482	204	219
483	205	218
484	205	218
485	205	217
486	206	217
487	206	216
488	206	215
489	206	215
490	207	214
491	207	214
492	207	213
493	208	213
494	208	212
495	209	212
496	209	211
497	209	211
498	210	211
499	210	210
500	210	210
501	211	209
502	211	209
503	211	208
504	212	208
505	212	207
506	213	207
507	213	206
508	213	206
509	214	205
510	214	205
511	214	204
512	215	204
513	215	203
514	216	203
515	216	203
516	216	202
517	217	202
518	217	201
519	218	201
520	218	200
521	218	200
522	219	199
523	219	199
524	219	198
525	220	198
526	220	198
527	220	197
528	221	197
529	221	196
530	222	196
531	222	195
532	222	195
533	222	194
534	223	194
535	223	193
536	223	193
537	224	192
538	224	192
539	224	191
540	225	191
541	225	190
542	225	190
543	226	189
544	226	188
545	226	188
546	226	187
547	227	187
548	227	186
549	227	186
550	228	185
551	228	185
552	228	184
553	229	184
554	229	183
555	229	183
556	229	182
557	230	182
558	230	181
559	230	181
560	231	180
561	231	180
562	231	179
563	231	179
564	232	178
565	232	178
566	232	177
567	233	177
568	233	176
569	233	176
570	234	175
571	234	175
572	234	174
573	234	174
574	235	173
575	235	173
576	235	172
577	236	172
578	236	171
579	236	171
580	237	170
581	237	170
582	237	169
583	237	169
584	238	169
585	238	168
586	238	168
587	239	167
588	239	167
589	239	166
590	240	166
591	240	165
592	240	165
593	240	164
594	241	164
595	241	163
596	241	163
597	242	162
598	242	162
599	242	161
600	243	161
601	243	160
602	243	160
603	244	160
604	244	159
605	244	159
606	245	158
607	245	158
608	245	157
609	246	157
610	246	156
611	246	156
612	247	156
613	247	155
614	247	155
615	248	154
616	248	154
617	249	153
618	249	153
619	249	153
620	250	152
621	250	152
622	250	151
623	251	151
624	251	150
625	251	150
626	252	149
627	252	149
628	252	149
629	252	148
630	253	148
631	253	147
632	253	147
633	254	146
634	254	146
635	254	145
636	255	145
637	255	144
638	255	144
639	256	144
640	256	143
641	256	143
642	256	142
643	257	142
644	257	141
645	257	141
646	258	140
647	258	140
648	258	139
649	258	139
650	259	139
651	259	138
652	259	138
653	260	137
654	260	137
655	260	136
656	261	136
657	261	135
658	261	135
659	262	135
660	262	134
661	262	134
662	262	133
663	263	133
664	263	132
665	263	132
666	264	131
667	264	131
668	264	131
669	265	130
670	265	130
671	265	129
672	266	129
673	266	128
674	266	128
675	267	128
676	267	127
677	267	127
678	268	126
679	268	126
680	268	125
681	268	125
682	269	124
683	269	124
684	269	124
685	270	123
686	270	123
687	270	122
688	271	122
689	271	121
690	271	121
691	271	121
692	272	120
693	272	120
694	272	119
695	273	119
696	273	118
697	273	118
698	274	118
699	274	117
700	274	117
701	275	116
702	275	116
703	275	115
704	276	115
705	276	115
706	276	114
707	276	114
708	277	113
709	277	113
710	277	112
711	278	112
712	278	112
713	278	111
714	279	111
715	279	110
716	279	110
717	279	109
718	280	109
719	280	109
720	280	108
721	281	108
722	281	107
723	281	107
724	282	107
725	282	106
726	282	106
727	283	105
728	283	105
729	283	104
730	283	104
731	284	104
732	284	103
733	284	103
734	285	102
735	285	102
736	285	102
737	286	101
738	286	101
739	286	100
740	287	100
741	287	99
742	287	99
743	288	99
744	288	98
745	288	98
746	289	97
747	289	97
748	289	97
749	289	96
750	290	96
751	290	95
752	290	95
753	291	94
754	291	94
755	291	94
756	291	93
757	292	93
758	292	92
759	292	92
760	293	92
761	293	91
762	293	91
763	294	90
764	294	90
765	294	90
766	295	89
767	295	89
768	295	88
769	295	88
770	296	88
771	296	87
772	296	87
773	297	86
774	297	86
775	297	85
776	298	85
777	298	85
778	298	84
779	298	84
780	299	83
781	299	83
782	299	83
783	300	82
784	300	82
785	300	81
786	301	81
787	301	81
788	301	80
789	302	80
790	302	79
791	302	79
792	303	79
793	303	78
794	303	78
795	304	77
796	304	77
797	304	77
798	304	76
799	305	76
800	305	75
801	305	75
802	306	75
803	306	74
804	306	74
805	307	73
806	307	73
807	307	73
808	308	72
809	308	72
810	308	71
811	308	71
812	309	71
813	309	70
814	309	70
815	310	69
816	310	69
817	310	69
818	311	68
819	311	68
820	311	67
821	311	67
822	312	67
823	312	66
824	312	66
825	313	65
826	313	65
827	313	65
828	314	64
829	314	64
830	314	63
831	314	63
832	315	63
833	315	62
834	315	62
835	316	62
836	316	61
837	316	61
838	317	60
839	317	60
840	317	60
841	318	59
842	318	59
843	318	58
844	318	58
845	319	58
846	319	57
847	319	57
848	320	56
849	320	56
850	321	56
851	321	55
852	321	55
853	322	55
854	322	54
855	322	54
856	322	53
857	323	53
858	323	53
859	323	52
860	324	52
861	324	51
862	324	51
863	325	51
864	325	50
865	325	50
866	325	50
867	326	49
868	326	49
869	326	48
870	327	48
871	327	48
872	327	47
873	328	47
874	328	46
875	328	46
876	329	46
877	329	45
878	329	45
879	330	45
880	330	44
881	331	44
882	331	43
883	331	43
884	332	43
885	332	42
886	333	42
887	333	42
888	333	41
889	333	41
890	334	40
891	334	40
892	334	40
893	335	39
894	335	39
895	335	38
896	336	38
897	336	38
898	336	37
899	337	37
900	337	37
901	338	36
902	338	36
903	339	36
904	339	35
905	339	35
906	340	34
907	340	34
908	341	34
909	341	33
910	341	33
911	342	33
912	342	32
913	343	32
914	343	31
915	343	31
916	344	31
917	344	30
918	344	30
919	345	30
920	345	29
921	346	29
922	346	28
923	346	28
924	347	28
925	347	27
926	348	27
927	348	27
928	349	26
929	350	26
930	350	25
931	351	25
932	351	25
933	351	24
934	352	24
935	352	24
936	353	23
937	353	23
938	354	23
939	354	22
940	355	22
941	355	21
942	356	21
943	356	21
944	356	20
945	357	20
946	357	20
947	358	19
948	358	19
949	359	18
950	359	18
951	359	18
952	360	17
953	360	17
954	361	17
955	361	16
956	361	16
957	362	15
958	362	15
959	363	15
960	363	14
961	363	14
962	364	13
963	364	13
964	364	13
965	365	12
966	365	12
967	365	12
968	366	11
969	366	11
970	366	10
971	367	10
972	367	10
973	367	9
974	367	9
975	368	9
976	368	8
977	368	8
978	369	7
979	369	7
980	369	7
981	370	6
982	370	6
983	370	6
984	371	5
985	371	5
986	371	4
987	371	4
988	372	4
989	372	3
990	372	3
991	373	3
992	373	2
993	374	2
994	374	1
995	375	1
996	375	1
997	376	0
998	376	0
999	377	0
