iter	Passed	Remaining
0	54	54465
1	55	27526
2	55	18492
3	56	13967
4	56	11257
5	57	9446
6	57	8152
7	57	7182
8	58	6429
9	58	5820
10	59	5320
11	59	4903
12	59	4551
13	60	4255
14	60	3998
15	61	3806
16	62	3603
17	62	3424
18	63	3266
19	63	3121
20	64	2989
21	64	2868
22	64	2755
23	65	2652
24	65	2556
25	65	2468
26	66	2387
27	66	2313
28	66	2242
29	67	2176
30	67	2114
31	67	2056
32	68	2001
33	68	1951
34	69	1902
35	69	1856
36	69	1813
37	69	1772
38	70	1733
39	70	1695
40	70	1659
41	71	1625
42	71	1593
43	71	1562
44	72	1533
45	72	1504
46	72	1477
47	73	1451
48	73	1426
49	73	1402
50	74	1380
51	74	1358
52	74	1339
53	75	1320
54	75	1301
55	76	1283
56	76	1266
57	76	1249
58	77	1233
59	77	1217
60	78	1202
61	78	1186
62	78	1173
63	79	1158
64	79	1145
65	80	1132
66	80	1119
67	80	1106
68	81	1093
69	81	1081
70	81	1068
71	81	1056
72	82	1045
73	82	1033
74	82	1022
75	83	1011
76	83	1001
77	83	990
78	84	980
79	84	971
80	84	961
81	85	952
82	85	941
83	85	932
84	85	923
85	86	915
86	86	907
87	86	898
88	87	891
89	87	883
90	87	876
91	88	868
92	88	861
93	88	855
94	89	849
95	89	844
96	90	838
97	90	832
98	90	826
99	91	820
100	91	814
101	91	809
102	92	804
103	92	798
104	92	792
105	93	786
106	93	781
107	93	775
108	94	769
109	94	764
110	94	759
111	95	753
112	95	748
113	95	743
114	96	738
115	96	734
116	96	728
117	96	724
118	97	719
119	97	714
120	97	710
121	98	706
122	98	703
123	99	700
124	99	697
125	100	694
126	100	690
127	100	686
128	101	682
129	101	679
130	101	675
131	102	671
132	102	667
133	102	664
134	103	661
135	103	660
136	104	657
137	104	654
138	105	650
139	105	647
140	105	643
141	105	639
142	106	636
143	106	633
144	106	630
145	107	627
146	107	624
147	107	621
148	108	618
149	108	615
150	109	613
151	109	610
152	109	607
153	110	605
154	110	602
155	110	600
156	111	597
157	111	594
158	111	592
159	112	589
160	112	586
161	112	584
162	113	581
163	113	579
164	114	577
165	114	574
166	114	572
167	115	570
168	115	568
169	115	565
170	116	563
